id1	id2	type
AT1G22840	AT5G61010	PPI
AT1G69690	AT3G58510	PPI
AT1G09660	AT2G43370	PPI
AT1G22920	AT4G33770	PPI
AT2G40380	AT5G58750	PPI
AT3G13710	AT5G58750	PPI
AT5G37780	AT5G57010	PPI
AT1G27300	AT2G01175	PPI
AT4G19030	AT5G26667	PPI
AT3G29270	AT5G56020	PPI
AT3G17668	AT3G49580	PPI
AT5G10060	AT5G13810	PPI
AT3G17668	AT5G61010	PPI
AT3G13320	AT4G35580	PPI
AT1G68670	AT3G05530	PPI
AT3G10260	AT4G36480	PPI
AT2G25490	AT3G28715	PPI
AT2G35940	AT5G38420	PPI
AT1G30500	AT3G45640	PPI
AT3G28715	AT5G08330	PPI
AT5G08330	AT5G38420	PPI
AT1G48260	AT4G17615	PPI
AT3G13720	AT5G58750	PPI
AT1G31880	AT1G69810	PPI
AT4G17720	AT5G58750	PPI
AT3G01300	AT3G07780	PPI
AT3G11730	AT5G58750	PPI
AT2G01770	AT5G22290	PPI
AT3G13710	AT5G22290	PPI
AT1G14687	AT3G45640	PPI
AT1G31880	AT3G28715	PPI
AT3G13720	AT4G34030	PPI
AT3G49580	AT5G38420	PPI
AT1G14340	AT5G49000	PPI
AT1G34430	AT3G17668	PPI
AT1G68670	AT2G41730	PPI
AT1G22630	AT1G68670	PPI
AT1G14340	AT1G67865	PPI
AT1G67865	AT3G43230	PPI
AT3G43230	AT5G16840	PPI
AT2G37150	AT5G42990	PPI
AT1G22630	AT4G08150	PPI
AT2G42870	AT3G22440	PPI
AT3G13175	AT3G29270	PPI
AT3G55600	AT4G35580	PPI
AT1G64280	AT3G26900	PPI
AT1G28135	AT2G24020	PPI
AT1G34430	AT1G52250	PPI
AT3G16980	AT3G19895	PPI
AT1G67800	AT1G69690	PPI
AT5G22290	AT5G26667	PPI
AT1G69690	AT5G17180	PPI
AT4G28720	AT4G35580	PPI
AT4G35580	AT5G26667	PPI
AT5G21274	AT5G57010	PPI
AT3G08530	AT3G56720	PPI
AT1G69810	AT3G47620	PPI
AT2G29210	AT4G32660	PPI
AT5G07110	AT5G58750	PPI
AT1G10940	AT3G44460	PPI
AT3G29270	AT3G59500	PPI
AT3G59500	AT5G41600	PPI
AT2G04630	AT5G63310	PPI
AT3G14180	AT5G67620	PPI
AT1G20640	AT2G42810	PPI
AT2G04630	AT5G57660	PPI
AT1G49590	AT5G39760	PPI
AT5G22310	AT5G58950	PPI
AT4G01090	AT5G58950	PPI
AT1G51580	AT5G17790	PPI
AT3G01690	AT3G11590	PPI
AT1G01010	AT5G43460	PPI
AT2G32650	AT3G11590	PPI
AT3G11590	AT5G58950	PPI
AT3G18570	AT4G25140	PPI
AT4G17720	AT4G25660	PPI
AT2G04630	AT3G56270	PPI
AT2G46690	AT3G48150	PPI
AT1G03130	AT3G48150	PPI
AT3G04730	AT3G23030	PPI
AT1G15370	AT3G24140	PPI
AT1G31750	AT2G47580	PPI
AT1G07930	AT1G77550	PPI
AT1G48450	AT2G41680	PPI
AT1G53510	AT3G08530	PPI
AT3G13990	AT5G60120	PPI
AT3G53350	AT4G36690	PPI
AT2G30260	AT4G24840	PPI
AT3G05580	AT5G52200	PPI
AT1G10530	AT3G26340	PPI
AT1G05410	AT4G12450	PPI
AT4G27270	AT5G58800	PPI
AT1G10530	AT3G26030	PPI
AT4G08150	AT4G12450	PPI
AT1G80190	AT3G60910	PPI
AT3G49580	AT4G12450	PPI
AT3G23030	AT4G22745	PPI
AT1G19180	AT1G30135	PPI
AT1G22920	AT2G32160	PPI
AT1G22920	AT5G13080	PPI
AT3G46320	AT5G38110	PPI
AT1G68140	AT5G58720	PPI
AT2G24030	AT3G20420	PPI
AT4G23400	AT4G35100	PPI
AT3G07480	AT3G49580	PPI
AT1G70700	AT3G49580	PPI
AT1G27300	AT3G44220	PPI
AT1G22920	AT3G16980	PPI
AT1G15760	AT5G56020	PPI
AT3G17668	AT3G48550	PPI
AT3G55600	AT4G19030	PPI
AT3G16980	AT4G35780	PPI
AT2G43370	AT3G47620	PPI
AT2G38185	AT3G47620	PPI
AT3G26810	AT3G47620	PPI
AT1G78380	AT2G29490	PPI
AT1G20630	AT3G49250	PPI
AT1G26850	AT4G19030	PPI
AT4G19030	AT5G58650	PPI
AT4G19030	AT5G11740	PPI
AT3G13940	AT3G15420	PPI
AT3G01550	AT3G50910	PPI
AT1G01620	AT4G35100	PPI
AT4G01090	AT4G12450	PPI
AT2G42560	AT3G47620	PPI
AT2G45040	AT3G47620	PPI
AT3G16690	AT3G47620	PPI
AT2G30260	AT3G47620	PPI
AT1G54030	AT3G47620	PPI
AT4G00550	AT5G22290	PPI
AT1G16900	AT5G22290	PPI
AT4G19030	AT5G20130	PPI
AT1G27300	AT5G20130	PPI
AT1G27300	AT5G65990	PPI
AT3G22260	AT5G49000	PPI
AT1G31320	AT2G30340	PPI
AT3G50910	AT5G20130	PPI
AT2G30340	AT3G48150	PPI
AT1G47260	AT4G39820	PPI
AT4G19030	AT5G64290	PPI
